epoch,tf_ratio,train_mse,val_mse,lr
1,0.5,5.24758563722883,2.8117146492004395,0.001
2,0.48333333333333334,4.4125196441771495,1.8863720893859863,0.001
3,0.4666666666666667,2.589675592051612,0.287885457277298,0.001
4,0.45,1.137761256051442,0.8121798038482666,0.001
5,0.43333333333333335,1.7336099157257685,0.3228658437728882,0.001
6,0.4166666666666667,0.6189877892297412,0.3178885877132416,0.001
7,0.4,0.7120467925828601,0.30581220984458923,0.001
8,0.3833333333333333,0.535777055081867,0.29055631160736084,0.001
9,0.3666666666666667,0.5156652203627995,0.28382813930511475,0.001
10,0.35,0.4840722107698047,0.2938767671585083,0.001
11,0.33333333333333337,0.4613812958437299,0.29740089178085327,0.001
12,0.31666666666666665,0.45336000550360905,0.32535499334335327,0.001
13,0.3,0.47348869036114405,0.2885105609893799,0.001
14,0.2833333333333333,0.4625883301099141,0.27184438705444336,0.001
15,0.26666666666666666,0.45328511605187066,0.27138230204582214,0.001
16,0.25,0.450582778643048,0.27338922023773193,0.001
17,0.23333333333333334,0.44252622316754053,0.2724457085132599,0.001
18,0.21666666666666667,0.4400032295121087,0.2759130597114563,0.001
19,0.2,0.4404686102791438,0.2707366645336151,0.001
20,0.18333333333333335,0.43719072947426446,0.268932580947876,0.001
21,0.16666666666666669,0.43728298800332205,0.2748589515686035,0.001
22,0.15000000000000002,0.4343065983719296,0.274382621049881,0.001
23,0.13333333333333336,0.4383885127211374,0.2726116478443146,0.001
24,0.11666666666666664,0.42722643273217337,0.3025931417942047,0.001
25,0.09999999999999998,0.4147664715373327,0.25554999709129333,0.001
26,0.08333333333333331,0.4162200230454642,0.3128293752670288,0.001
27,0.06666666666666665,0.4281573773376525,0.28544679284095764,0.001
28,0.04999999999999999,0.4225083059734768,0.2903456389904022,0.001
29,0.033333333333333326,0.42067705780740766,0.2712181806564331,0.001
30,0.016666666666666663,0.4213330897073897,0.2655334174633026,0.001
31,0.0,0.4296764125899663,0.2869757413864136,0.0005
32,0.0,0.4156820211145613,0.2836623787879944,0.0005
33,0.0,0.4191101411032298,0.2627214789390564,0.0005
34,0.0,0.42020111471887617,0.25588345527648926,0.0005
35,0.0,0.4129620627278373,0.28153544664382935,0.0005
